linker,source,pos,ptclass,sense,other_senses,other_pos,semfield1,subsense1,semfield2,subsense2
или,ЕФР,союз,,"соотнесение однородных членов предложения или целых предложений (по значению взаимоисключающих или заменяющих друг друга), указывая на необходимость выбора между ними","1. предположение, допущение, возможность чего-л.: разве, неужели, может, может быть",частица,дизъюнкция,NA,NA,NA
или,ЕФР,союз,,"введение слов и предложений, имеющих пояснительный характер: то есть, иначе, иначе говоря","1. предположение, допущение, возможность чего-л.: разве, неужели, может, может быть",частица,переформулирование,NA,NA,NA
или,ЕФР,союз,,"присоединение последнего члена перечисления: и, а также","1. предположение, допущение, возможность чего-л.: разве, неужели, может, может быть",частица,конъюнкция,соединение,NA,NA
или,ЕФР,союз,,дополняет предыдущее высказывание,"1. предположение, допущение, возможность чего-л.: разве, неужели, может, может быть",частица,мереология,аддитивность,NA,NA
или иначе,АГ-80,союзное соединение,,пояснительный,NA,NA,переформулирование,NA,NA,NA
или... или,АГ-80,союз,,NA,NA,NA,дизъюнкция,NA,NA,NA
или... или... а может быть,АГ-80,союз,,NA,NA,NA,дизъюнкция,NA,NA,NA
или... или... или...,АГ-80,союз,,NA,NA,NA,дизъюнкция,NA,NA,NA
иль,БТС,союз,,необходимость выбора между предложениями или членами предложения (постановка «или» перед каждым сопоставляемым членом служит для усиления выразительности),NA,NA,дизъюнкция,NA,NA,NA
иль,БТС,союз,,объединяет предложения или отдельные члены предложения в перечислении,NA,NA,конъюнкция,присоединение,NA,NA
иль,БТС,союз,,"соответствует по зн. сл.: а также, и",NA,NA,конъюнкция,соединение,NA,NA
иль,БТС,союз,,"присоединение предложений, дополняющих или развивающих высказанную мысль",NA,NA,мереология,конкретизация,NA,NA
иль,БТС,союз,,"указывает на то, что несовершение одного действия неизбежно вызовет совершение второго; =иначе, в противном случае",NA,NA,заместительные отношения,NA,NA,NA
иль,БТС,союз,,"то есть, иными словами",NA,NA,переформулирование,NA,NA,NA
иль,АГ-80,союз,,разделительный (выбор),NA,NA,дизъюнкция,NA,NA,NA
иль,ЕФР,союз,,"соотнесение однородных членов предложения или целых предложений (по значению взаимоисключающих или заменяющих друг друга), указывая на необходимость выбора между ними","1. предположение, допущение, возможность чего-л.: разве, неужели, может, может быть",частица,дизъюнкция,NA,NA,NA
иль,ЕФР,союз,,"введение слов и предложений, имеющих пояснительный характер: то есть, иначе, иначе говоря","1. предположение, допущение, возможность чего-л.: разве, неужели, может, может быть",частица,переформулирование,NA,NA,NA
именно,БТС,в значении союза,,"присоединение предложения или отдельных членов предложения, разъясняющих, уточняющих высказанную мысль","1. как раз 2. выражение согласия, подтверждения",частица,мереология,конкретизация,NA,NA
именно,БТС,в значении союза,,"перед перечислением, раскрывающим и уточняющим смысл обобщающего слова","1. как раз 2. выражение согласия, подтверждения",частица,мереология,конкретизация,NA,NA
именно,АГ-80,аналог союза,,NA,NA,частица; союз,переформулирование,NA,NA,NA
именно,АГ-80,союз,,"пояснительный (уточнение, введение конкретизирующего члена)",NA,аналог союза; частица,мереология,конкретизация,NA,NA
именно,ЕФР,союз,,"уточняет, раскрывает или разъясняет ранее высказанную мысль: то есть","1. подчеркивание какого-л. слова, при указании на него: как раз 2. подчеркивание отсутствия, наличия или необходимости более точного указания лица, места, времени и т.п.: собственно 3. согласие с чем-л., при подтверждении чего-л.: да, так, действительно",частица,переформулирование,NA,мереология,конкретизация
именно,ЕФР,союз,,обобщающее слово при перечислении: как то,"1. подчеркивание какого-л. слова, при указании на него: как раз 2. подчеркивание отсутствия, наличия или необходимости более точного указания лица, места, времени и т.п.: собственно 3. согласие с чем-л., при подтверждении чего-л.: да, так, действительно",частица,мереология,генерализация,NA,NA
иначе,БТС,в значении союза,,"в противном случае, а то","1. по-иному, по-другому",наречие,заместительные отношения,NA,NA,NA
иначе,АГ-80,союз,,уточняюще-комментирующий,NA,наречие; аналог союза,заместительные отношения,,NA,NA
иначе,АГ-80,аналог союза,,NA,NA,наречие; союз,заместительные отношения,,NA,NA
иначе,ЕФР,союз,,противопоставление или сопоставление: в противном случае,"1. не так, как кто-л., иным образом или способом; по-другому 2. пояснение или уточнение ранее сказанного",наречие,дизъюнкция,NA,заместительные отношения,NA
иначе говоря,АГ-80,вводное сочетание слов,,пояснительный,NA,NA,переформулирование,NA,NA,NA
инда,БТС,союз,,"так что, так что даже, до того, что","1. выделение и усиление того слова, перед которым она стоит",частица,следствие,NA,NA,NA
индо,БТС,союз,,"так что, так что даже, до того, что","1. выделение и усиление того слова, перед которым она стоит",частица,следствие,NA,NA,NA
иногда,АГ-80,аналог союза,,Выделяет второй или последующий член как более значимый или менее значимый,NA,наречие,конъюнкция,присоединение,NA,NA
иногда и,АГ-80,аналог союза,,вводит последний член ряда и замыкает ряд,NA,NA,конъюнкция,присоединение,NA,NA
иными словами,АГ-80,вводное сочетание слов,,пояснительный,NA,NA,переформулирование,NA,NA,NA
исходя из того что,АГ-80,союз,,NA,NA,NA,причина,обоснование,NA,NA
исходя из того что,ЕФР,союз,,основание для действия главной части: на том основании что,NA,NA,причина,обоснование,NA,NA
итак,БТС,союз,,"таким образом, следовательно",NA,NA,ПУ,логический вывод,мереология,генерализация
итак,АГ-80,союз,,NA,NA,вводное слово,следствие,NA,ПУ,логический вывод
итак,ЕФР,союз,,"в начале предложения, являющегося выводом из предыдущего: таким образом, в результате всего, следовательно",NA,NA,следствие,NA,NA,NA
к примеру,АГ-80,вводное сочетание слов,,включение,NA,NA,мереология,конкретизация,NA,NA
к тому ж,ЕФР,союз,,"дополнительное сообщение: да ещё, вдобавок",NA,NA,мереология,аддитивность,NA,NA
к тому же,АГ-80,вводное сочетание слов,,NA,NA,аналог союза,мереология,аддитивность,NA,NA
к тому же,АГ-80,аналог союза,,Выделяет второй или последующий член как более значимый или менее значимый,NA,вводное сочетание слов,мереология,аддитивность,NA,NA
к тому же,ЕФР,союз,,"дополнительное сообщение: да ещё, вдобавок",NA,NA,мереология,аддитивность,NA,NA
кабы,БТС,союз,,условное предположение,"желание того, о чём говорится в предложении",частица,условие,ирреальное,NA,NA
кабы,АГ-80,союз,,NA,NA,частица,цель,NA,NA,NA
кабы,ЕФР,союз,,потенциально возможное условие: если бы,1. сильное желание,частица,условие,реальное,NA,NA
кабы,ЕФР,союз,,"нереальное условие, осложненное значением противительности",1. сильное желание,частица,условие,ирреальное,адверсативность,противительность
кажется,АГ-80,аналог союза,,выделяет член ряда на основании модальной оценки,NA,NA,конъюнкция,присоединение,NA,NA
как,БТС,союзн. сл.,,каким образом,"1. каким образом 2. в какой степени, насколько 3. до какой степени, до чего 4. =когда 5. как-нибудь 6. удивление, негодование, сомнение и т. п. по какому-л. поводу 7. собеседник недослышал, недостаточно понял и переспрашивает; что такое? 8. внезапность действия 9. в зачинах и в начале стихов",наречие; частица,NA,NA,NA,NA
как,БТС,союзн. сл.,,сравнение,"1. каким образом 2. в какой степени, насколько 3. до какой степени, до чего 4. =когда 5. как-нибудь 6. удивление, негодование, сомнение и т. п. по какому-л. поводу 7. собеседник недослышал, недостаточно понял и переспрашивает; что такое? 8. внезапность действия 9. в зачинах и в начале стихов",наречие; частица,сравнение,экватив,сравнение,симилятив
как,БТС,союзн. сл.,,"при отождествлении: в качестве кого-, чего-л., будучи кем-, чем-л.","1. каким образом 2. в какой степени, насколько 3. до какой степени, до чего 4. =когда 5. как-нибудь 6. удивление, негодование, сомнение и т. п. по какому-л. поводу 7. собеседник недослышал, недостаточно понял и переспрашивает; что такое? 8. внезапность действия 9. в зачинах и в начале стихов",наречие; частица,сравнение,экватив,NA,NA
как,БТС,союзн. сл.,,"временные отношения. Перед тем как уехать, он зашёл попрощаться. Прошёл год, как мы не виделись.","1. каким образом 2. в какой степени, насколько 3. до какой степени, до чего 4. =когда 5. как-нибудь 6. удивление, негодование, сомнение и т. п. по какому-л. поводу 7. собеседник недослышал, недостаточно понял и переспрашивает; что такое? 8. внезапность действия 9. в зачинах и в начале стихов",наречие; частица,таксис,предшествование,NA,NA
как,БТС,союзн. сл.,,"если, в том случае, когда","1. каким образом 2. в какой степени, насколько 3. до какой степени, до чего 4. =когда 5. как-нибудь 6. удивление, негодование, сомнение и т. п. по какому-л. поводу 7. собеседник недослышал, недостаточно понял и переспрашивает; что такое? 8. внезапность действия 9. в зачинах и в начале стихов",наречие; частица,условие,реальное,условие,ирреальное
как,БТС,союзн. сл.,,присоединяет придат. дополнит.,"1. каким образом 2. в какой степени, насколько 3. до какой степени, до чего 4. =когда 5. как-нибудь 6. удивление, негодование, сомнение и т. п. по какому-л. поводу 7. собеседник недослышал, недостаточно понял и переспрашивает; что такое? 8. внезапность действия 9. в зачинах и в начале стихов",наречие; частица,NA,NA,NA,NA
как,БТС,союзн. сл.,,"кроме, только","1. каким образом 2. в какой степени, насколько 3. до какой степени, до чего 4. =когда 5. как-нибудь 6. удивление, негодование, сомнение и т. п. по какому-л. поводу 7. собеседник недослышал, недостаточно понял и переспрашивает; что такое? 8. внезапность действия 9. в зачинах и в начале стихов",наречие; частица,мереология,исключение,NA,NA
как,АГ-80,союз,,изъяснительный или сравнительный,NA,NA,сравнение,экватив,сравнение,симилятив
как,ЕФР,союз,,"присоединение сравнительных оборотов и сравнительных придаточных предложений: словно, точно","1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,сравнение,экватив,сравнение,симилятив
как,ЕФР,союз,,"сравнение с оттенком приравнивания: подобно тому как, так же как","1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,сравнение,симилятив,NA,NA
как,ЕФР,союз,,условно-предположительное сравнение,"1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,сравнение,симилятив,сравнение,экватив
как,ЕФР,союз,,"сравнение, характеризующее объект по его сущности или функции: в качестве, будучи","1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,причина,обоснование,сравнение,экватив
как,ЕФР,союз,,"уточняет, раскрывает или разъясняет содержание сказанного","1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,переформулирование,NA,мереология,конкретизация
как,ЕФР,союз,,присоединение изъяснительных придаточных предложений: что,"1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,NA,NA,NA,NA
как,ЕФР,союз,,"одновременность действия: когда, в то время когда","1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,таксис,одновременность,NA,NA
как,ЕФР,союз,,"повторяемость действия: всякий раз, когда","1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,таксис,одновременность,NA,NA
как,ЕФР,союз,,последовательность действия,"1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,таксис,предшествование,NA,NA
как,ЕФР,союз,,"причина: так как, поскольку","1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,причина,обоснование,причина,собственно причина
как,ЕФР,союз,,"условие: в том случае, когда; если","1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,условие,реальное,условие,ирреальное
как,ЕФР,союз,,"уступка: хотя и, несмотря на то что","1. Каким образом? 2. В какой степени? Насколько? 3. До какой степени? 4. полная невозможность чего-л. в риторических вопросах и восклицаниях: разве можно, нельзя, невозможно 5. удивление, недоумение, негодование 6. опасение, боязнь чего-л. 7. при переспрашивании: что? что такое? 8. внезапность, напряженность действия 9. наивысший предел, высшая степень чего-л.",наречие; частица,адверсативность,уступка,NA,NA
как ... так,БТС,в значении союза,,"одновременность Как посмотрю долго телевизор, так начинает болеть голова.",NA,NA,таксис,одновременность,таксис,следование
как ... так,ЕФР,союз,,"соединение частей предложения или целых предложений, субъекты которых сопоставляются или соотносятся друг с другом",NA,NA,конъюнкция,сопоставление,адверсативность,противительность
как ... так и,БТС,в значении союза,,перечисление,NA,NA,мереология,аддитивность,конъюнкция,соединение
как ... так и,ЕФР,союз,,сопоставление в каком-л. отношении,NA,NA,конъюнкция,сопоставление,NA,NA
как ... так и,ЕФР,союз,,"сопоставляются субъекты, объекты действия или сами действия",NA,NA,конъюнкция,сопоставление,NA,NA
как будто,БТС,нет пометы,,"Как бы, вроде бы",NA,NA,сравнение,экватив,сравнение,симилятив
как будто,АГ-80,частица-союз,,NA,NA,союз,сравнение,экватив,сравнение,симилятив
как будто,АГ-80,союз,,NA,NA,частица-союз,сравнение,экватив,сравнение,симилятив
как будто,ЕФР,союз,,"условно-предположительное сравнение: словно, будто, точно","1. предположительность или что-л. кажущееся: вроде, будто 2. неуверенность высказывания",частица,сравнение,симилятив,сравнение,экватив
как будто,ЕФР,союз,,"мера или степень признака, действия, состояния","1. предположительность или что-л. кажущееся: вроде, будто 2. неуверенность высказывания",частица,степень,собственно степень,NA,NA
как будто,ЕФР,союз,,"присоединение придаточной части сложноподчиненного предложения, содержание которой говорящему представляется недостоверным","1. предположительность или что-л. кажущееся: вроде, будто 2. неуверенность высказывания",частица,ПУ,эмоции,NA,NA
как будто бы,БТС,нет пометы,,"Как бы, вроде бы",NA,NA,сравнение,экватив,сравнение,симилятив
как будто бы,БТС,в значении союза,,условно-предположительное сравнение,"1. будто бы, вроде бы",частица,сравнение,симилятив,NA,NA
как будто бы,АГ-80,союз,,NA,NA,NA,сравнение,экватив,сравнение,симилятив
как будто бы,ЕФР,союз,,"сравнение (которое представляется недостоверным): как бы, будто бы, как если бы","1. условность, мнимость, что-л. кажущееся: вроде бы, будто бы",частица,сравнение,симилятив,сравнение,экватив
как будто бы,ЕФР,союз,,"недостоверность состояния, действия, меры или степени признака","1. условность, мнимость, что-л. кажущееся: вроде бы, будто бы",частица,ПУ,эмоции,NA,NA
как будто бы,ЕФР,союз,,присоединение придаточной части сложноподчиненного предложения (в достоверности содержания которой говорящий сомневается): будто бы,"1. условность, мнимость, что-л. кажущееся: вроде бы, будто бы",частица,ПУ,эмоции,NA,NA
как бы,БТС,в значении союза,,сравнение,1. условное предположение,частица,сравнение,симилятив,NA,NA
как бы,АГ-80,союз,,NA,NA,NA,сравнение,экватив,сравнение,симилятив
как бы,ЕФР,союз,,условно-предположительное сравнение: как будто,"1. предположительность, условность высказывания: будто, будто бы",частица,сравнение,симилятив,сравнение,экватив
как бы,ЕФР,союз,,"сравнение (которое представляется недостоверным): как будто бы, будто бы, как если бы","1. предположительность, условность высказывания: будто, будто бы",частица,сравнение,симилятив,сравнение,экватив
как бы не,БТС,в значении союза,,"выражение опасения, боязни чего-л.",NA,NA,ПУ,эмоции,NA,NA
как бы не,АГ-80,союз,,NA,NA,NA,ПУ,эмоции,NA,NA
как бы ни,ЕФР,союз,,"допущение чего-л.: хотя и, даже если",NA,NA,условие,ирреальное,адверсативность,уступка
как вдруг,БТС,в значении союза,,осуществление сразу и неожиданно вслед за чем-л.,NA,NA,таксис,следование,NA,NA
как вдруг,АГ-80,союз,,NA,NA,NA,таксис,следование,NA,NA
как вдруг,ЕФР,союз,,"указание на неожиданность или внезапность действия, прерывающего действие главной части",NA,NA,таксис,следование,NA,NA
как всё равно,ЕФР,союз,,"достоверное сравнение или уподобление: словно, как будто, всё равно как",NA,NA,сравнение,экватив,сравнение,симилятив
как всё равно,ЕФР,союз,,сравнение или сопоставление: всё равно как,NA,NA,сравнение,экватив,сравнение,симилятив
как если бы,АГ-80,союз,,NA,NA,NA,сравнение,экватив,сравнение,симилятив
как если бы,ЕФР,союз,,условно-предположительное сравнение: как будто,NA,NA,сравнение,симилятив,сравнение,экватив
как если бы,ЕФР,союз,,"недостоверность состояния, действия, меры или степени признака: как будто",NA,NA,ПУ,эмоции,NA,NA
как и,БТС,в значении союза,,"подобно кому-, чему-л.",NA,NA,сравнение,экватив,сравнение,симилятив
как и,ЕФР,союз,,"соединение однородных членов предложения, сравниваемых в каком-л. отношении",NA,NA,сравнение,экватив,NA,NA
как и,ЕФР,союз,,подтверждение каких-л. предположений,NA,NA,сравнение,симилятив,NA,NA
как например,АГ-80,союз,,NA,NA,NA,сравнение,экватив,сравнение,симилятив
как ни,БТС,в значении союза,,"хотя и, несмотря на то, что",NA,NA,адверсативность,уступка,NA,NA
как ни,ЕФР,союз,,"противопоставление содержанию главной части: хотя и, несмотря на то что",NA,NA,адверсативность,противительность,адверсативность,уступка
как раз,БТС,в значении союза,,"именно, точно, в то время, когда",NA,NA,таксис,одновременность,NA,NA
как раз и,БТС,в значении союза,,"именно, точно, в то время, когда",NA,NA,таксис,одновременность,NA,NA
как скоро,БТС,в значении союза,,"временные отношения, когда, как только",NA,NA,таксис,предшествование,NA,NA
как скоро,БТС,в значении союза,,"едва, как только",NA,NA,таксис,предшествование,NA,NA
как скоро,ЕФР,союз,,"присоединение придаточной части сложноподчиненного предложения (действие которой совершается непосредственно перед действием главной части): как только, лишь только, едва",1. Когда?,наречие,таксис,предшествование,NA,NA
как то,ЕФР,союз,,присоединение к обобщающему слову ряда однородных членов предложения (раскрывающих или конкретизирующих обобщающее слово): например,NA,NA,мереология,конкретизация,NA,NA
как только,БТС,в значении союза,,"непосредственно вслед за чем-л., непосредственно после чего-л",NA,NA,таксис,предшествование,NA,NA
как только,АГ-80,союз,,временной,NA,NA,таксис,следование,NA,NA
как только,ЕФР,союз,,"присоединение придаточной части сложноподчиненного предложения (действие которой совершается непосредственно перед действием главной части): лишь только, едва",NA,NA,таксис,предшествование,NA,NA
как... так и,АГ-80,союзное соединение,,NA,NA,союз,конъюнкция,присоединение,NA,NA
как... так и,АГ-80,союз,,"градационно-сопоставительный, соединительный, сопоставительный, градационный, присоединительный",NA,союзное соединение,конъюнкция,сопоставление,конъюнкция,соединение
какой бы ни,ЕФР,союз,,"присоединение придаточной части сложноподчиненного предложения (содержание которой связано с любыми условиями, обстоятельствами или допущениями): какой ни",NA,NA,условие,ирреальное,NA,NA
какой ни,ЕФР,союз,,"присоединение придаточной части сложноподчиненного предложения (содержание которой связано с любыми условиями, обстоятельствами или допущениями): какой бы ни",NA,NA,условие,ирреальное,NA,NA
как-то,АГ-80,союз,,"перечисление, пояснительный (раскрытие перечня)",NA,NA,мереология,конкретизация,NA,NA
когда,БТС,союз,,соотнесённость во времени действий или состояний главного и придаточного предложений,"1. в какое время? 2. в какое время 3. отвлечённое обозначение времени действия или проявления состояния 4. когда-нибудь, когда-либо 5. в придат. предложениях определит. 5. в придат. предложениях дополнит. ",наречие; союзн. сл.,таксис,одновременность,таксис,следование
когда,АГ-80,союз,,временной,NA,NA,таксис,одновременность,таксис,предшествование
когда,ЕФР,наречие,,присоединяет изъяснительные и определительные придаточные предложения,"1. в какое время? 2. в какое-л. время (обычно относящееся к неопределенному будущему) 3. сильное, но неосуществимое желание: если бы",наречие; союз; частица,NA,NA,NA,NA
когда,ЕФР,союз,,одновременность действия: в то время как,"1. в какое время? 2. в какое-л. время (обычно относящееся к неопределенному будущему) 3. сильное, но неосуществимое желание: если бы",наречие; частица,таксис,одновременность,NA,NA
когда,ЕФР,союз,,повторяемость действия: всякий раз как,"1. в какое время? 2. в какое-л. время (обычно относящееся к неопределенному будущему) 3. сильное, но неосуществимое желание: если бы",наречие; частица,таксис,одновременность,NA,NA
когда,ЕФР,союз,,начальный момент действия: с тех пор как,"1. в какое время? 2. в какое-л. время (обычно относящееся к неопределенному будущему) 3. сильное, но неосуществимое желание: если бы",наречие; частица,таксис,одновременность,NA,NA
когда,ЕФР,союз,,последовательность действия: после того как,"1. в какое время? 2. в какое-л. время (обычно относящееся к неопределенному будущему) 3. сильное, но неосуществимое желание: если бы",наречие; частица,таксис,предшествование,NA,NA
когда,ЕФР,союз,,условие: если,"1. в какое время? 2. в какое-л. время (обычно относящееся к неопределенному будущему) 3. сильное, но неосуществимое желание: если бы",наречие; частица,условие,реальное,условие,ирреальное
когда б,ЕФР,союз,,предположительное условие для осуществления действия главной части,"1. сильное, но неосуществимое желание: если бы",частица,условие,ирреальное,NA,NA
когда б,ЕФР,союз,,"неосуществленное, но желанное намерение или действие, а в главной части — оценка, сожаление, пожелание по поводу такого намерения","1. сильное, но неосуществимое желание: если бы",частица,условие,ирреальное,NA,NA
когда б не,ЕФР,союз,,лицо или предмет являются причиной действия главной части,NA,NA,причина,собственно причина,NA,NA
когда б ни,ЕФР,союз,,содержание придаточного связано с любым предполагаемым временем действия,NA,NA,таксис,одновременность,NA,NA
когда бы,БТС,союз + частица,,если,NA,NA,условие,ирреальное,NA,NA
когда бы,АГ-80,союз,,NA,NA,NA,условие,ирреальное,NA,NA
когда бы,ЕФР,союз,,предположительное условие для осуществления действия главной части,"1. сильное, но неосуществимое желание: если бы",частица,условие,ирреальное,NA,NA
когда бы,ЕФР,союз,,"неосуществленное, но желанное намерение или действие, а в главной части — оценка, сожаление, пожелание по поводу такого намерения","1. сильное, но неосуществимое желание: если бы",частица,условие,ирреальное,NA,NA
когда бы не,ЕФР,союз,,лицо или предмет являются причиной действия главной части,NA,NA,причина,собственно причина,NA,NA
когда бы ни,БТС,союз,,всякий раз как,NA,NA,таксис,одновременность,NA,NA
когда бы ни,ЕФР,союз,,содержание придаточного связано с любым предполагаемым временем действия,NA,NA,таксис,одновременность,NA,NA
когда ни,ЕФР,союз,,содержание придаточного связано с любым временем действия,NA,NA,таксис,одновременность,NA,NA
