linker,source,pos,ptclass,sense,other_senses,other_pos,semfield1,subsense1,semfield2,subsense2
а именно,АГ-80,союзное соединение,,пояснительный,NA,NA,мереология,конкретизация,NA,NA
а именно,ЕФР,союз,,"уточняет, конкретизирует высказанную мысль: то есть",NA,NA,переформулирование,NA,мереология,конкретизация
а именно,ЕФР,союз,,какие-л. точные сведения,NA,NA,мереология,конкретизация,NA,NA
а к тому же,АГ-80,союз,,NA,NA,NA,мереология,аддитивность,NA,NA
а лучше сказать,БТС,в значении союза,,уточнение,NA,NA,переформулирование,NA,мереология,конкретизация
а между тем,БТС,в значении союза,,"тем временем, в то же время",NA,NA,конъюнкция,сопоставление,таксис,одновременность
а может быть,АГ-80,союзное соединение,,различающе-соединительный,NA,NA,конъюнкция,сопоставление,NA,NA
а не,АГ-80,союз,,отрицательно-противительное значение взаимного исключения,NA,NA,заместительные отношения,NA,дизъюнкция,NA
а не то,БТС,в значении союза,,"Иначе, в противном случае",NA,NA,заместительные отношения,NA,NA,NA
а не то,БТС,в значении союза,,"На самом деле, в действительности",NA,NA,адверсативность,уступка,NA,NA
а не то,БТС,в значении союза,,"Потому что, так как",NA,NA,причина,обоснование,причина,собственно причина
а не то,БТС,в значении союза,,"Или, или же",NA,NA,заместительные отношения,NA,дизъюнкция,NA
а не то,АГ-80,союз,,разделительный (выбор),NA,NA,заместительные отношения,NA,дизъюнкция,NA
а не то,ЕФР,союз,,"соединение предложений (во втором из которых действие или событие могло бы произойти, если бы препятствием для него не послужило реальное действие или событие первого предложения): а то, в противном случае, иначе",NA,NA,заместительные отношения,NA,NA,NA
а не то что,ЕФР,союз,,"отрицательное сравнение с другими однородными членами: не как, не то что",NA,NA,заместительные отношения,NA,NA,NA
а не то что,ЕФР,союз,,подчеркивание важности последующей части высказывания: не то что,NA,NA,переформулирование,NA,NA,NA
а не только,ЕФР,союз,,противопоставление,NA,NA,адверсативность,противительность,NA,NA
а не только что,ЕФР,союз,,"противопоставление второму члену предложения, более значительному, более существенному в смысловом отношении: не только что","1. расширение действия, обстоятельства: не только, не только что",частица,адверсативность,противительность,NA,NA
а особенно,АГ-80,союзное соединение,,"различающе-соединительный, выделительный, включение",NA,NA,мереология,конкретизация,NA,NA
а оттого,БТС,в значении союза,,а потому,NA,NA,причина,результат,NA,NA
а оттого,АГ-80,союзное соединение,,обусловленность,NA,NA,причина,результат,NA,NA
а потому,АГ-80,союзное соединение,,обусловленность,NA,NA,причина,результат,NA,NA
а поэтому,АГ-80,союзное соединение,,обусловленность,NA,NA,причина,результат,NA,NA
а равно и,БТС,нет пометы,,"так же, как и; также и",NA,NA,конъюнкция,соединение,мереология,аддитивность
а равно и,АГ-80,союз,,градационно-присоединительный,NA,NA,сравнение,экватив,степень,собственно степень
а равно и,ЕФР,союз,,"сопоставление с предыдущими как равнозначные, равноценные (иногда с усилением или отграничиванием каждого из них от другого): как и, так же как и",NA,NA,конъюнкция,сопоставление,NA,NA
а следовательно,АГ-80,союзное соединение,,обусловленность,NA,NA,ПУ,логический вывод,NA,NA
а стало быть,АГ-80,союзное соединение,,обусловленность,NA,NA,ПУ,логический вывод,NA,NA
а также,АГ-80,союз,,"соединительный, сопоставительный, градационный, присоединительный",NA,NA,конъюнкция,соединение,конъюнкция,сопоставление
а также,ЕФР,союз,,присоединение однородного члена предложения (который — являясь добавочным — отграничивается от другого или от ряда других однородных членов): и,NA,NA,мереология,аддитивность,конъюнкция,присоединение
а также и,АГ-80,союз,,присоединительный,NA,NA,мереология,аддитивность,конъюнкция,присоединение
а тем более,АГ-80,союзное соединение,,различающе-соединительный,NA,NA,мереология,аддитивность,конъюнкция,присоединение
а тем не менее,АГ-80,союзное соединение,,уступительно-противительный,NA,NA,адверсативность,уступка,адверсативность,противительность
а то,БТС,в значении союза,,"Иначе, в противном случае","1. утверждение, согласие 2. согласие после первоначального отказа 3. при уговаривании, пожелании",частица,заместительные отношения,NA,NA,NA
а то,БТС,в значении союза,,"На самом деле, в действительности","1. утверждение, согласие 2. согласие после первоначального отказа 3. при уговаривании, пожелании",частица,адверсативность,уступка,NA,NA
а то,БТС,в значении союза,,"Потому что, так как","1. утверждение, согласие 2. согласие после первоначального отказа 3. при уговаривании, пожелании",частица,причина,обоснование,причина,собственно причина
а то,БТС,в значении союза,,"Или, или же","1. утверждение, согласие 2. согласие после первоначального отказа 3. при уговаривании, пожелании",частица,заместительные отношения,NA,дизъюнкция,NA
а то,АГ-80,союз,,NA,NA,NA,заместительные отношения,NA,NA,NA
